Mail Text,Label
"Request for transport of 500 kg of electronics from Berlin to Amsterdam. Cost is €1500, payment via bank transfer within 14 days. Please confirm ASAP.",not spam
Urgent: Need to ship 1000 kg of textiles from Guangzhou to Los Angeles. Total cost: $2000. Payment required upon pickup. Respond quickly!,spam
"Transport request for 300 kg of perishable goods from Madrid to Paris. Price is €800, payable within 10 days. Let me know your availability.",not spam
Act Fast! Ship 200 kg of mysterious cargo for just $100! Limited time offer. Pay via untraceable methods. Don’t delay!,spam
"I need to arrange transport for 750 kg of machinery from Detroit to Toronto. The cost is $1800, payment due in 30 days. Please get back to me.",not spam
Immediate Attention: Ship 50 kg of rare items for $50! Offer expires soon. Pay using crypto for instant processing!,spam
"Looking for a quote to transport 600 kg of furniture from Sydney to Melbourne. Estimated cost is $1200, with payment in 2 weeks. Thank you!",not spam
Last chance! Transport 100 kg of documents for only $20! Payment must be made today! Details upon reply. This won't last!,spam
"Requesting transport for 400 kg of industrial supplies from Mumbai to Dubai. Total cost: ₹30000, due within a month. Awaiting your reply.",not spam
Exclusive Offer! Ship 150 kg of unknown items for a mere $10! Payment through PayPal only. Act fast to secure this deal!,spam
"Can you provide transport for 800 kg of food items from New York to Chicago? The total charge is $950, payable within 15 days. Please confirm.",not spam
Hurry! Transport 120 kg of luxury goods for just $200! Limited slots available. Pay up front to ensure your shipment!,spam
Transport request for 1 ton of machinery from Rotterdam to London. Cost $2500 with a payment term of 30 days. Looking forward to your response.,not spam
Unbelievable deal! Ship 75 kg of anything for $5! Payment required immediately. Don’t miss this chance!,spam
"I need transportation for 300 kg of medical supplies from Toronto to Vancouver. The cost is CAD 900, payable in 14 days. Let me know your schedule.",not spam
"Special Offer! Move 100 kg of cargo for just $15! Payment is via bank transfer, but only respond if you can pay now!",spam
"Seeking transport for 500 kg of auto parts from Chicago to Houston. Price is $1200, payment due within 21 days. Please reply with details.",not spam
Act now! Secure shipping for 200 kg of items at an unbelievable price of $80! Payment must be quick. Respond immediately!,spam
"Need transport for 1 ton of steel from Osaka to Tokyo. Estimated cost is ¥50000, payable in 30 days. Please confirm your availability.",not spam
Limited time only! Ship 300 kg of electronics for just $199! Pay today to take advantage of this offer!,spam
"Transport request for 600 kg of textiles from Paris to Berlin. The total cost is €1500, payable in 10 days. Awaiting your confirmation.",not spam
Flash Sale! Transport 50 kg of any product for only $3! Pay via Western Union for quick processing!,spam
"Can you arrange transport for 900 kg of agricultural products from Mexico City to Miami? Cost is $1500, payable in 3 weeks. Looking forward to your reply.",not spam
Urgent! Ship 100 kg of random items for just $30! Payment must be done within 24 hours! Don't miss out!,spam
"Looking to transport 250 kg of furniture from Toronto to Calgary. The cost is CAD 700, payment due in 14 days. Please confirm your availability.",not spam
"Exclusive Offer! Move 75 kg of goods for $10! Quick payment required, and I’ll send you the details!",spam
"Requesting transport for 500 kg of fragile items from San Francisco to Seattle. Total cost is $1200, payable within 30 days. Please confirm as soon as possible.",not spam
Limited Time! Ship 80 kg of anything for only $25! Pay immediately to secure this incredible deal!,spam
"Transport needed for 350 kg of machinery from Madrid to Lisbon. Price is €1000, payment due in 20 days. Let me know your availability.",not spam
Fantastic Deal! Move 150 kg of cargo for only $50! Payment must be sent today! Act fast!,spam
Need to arrange transport for 800 kg of construction materials from Calgary to Vancouver. Estimated cost is CAD 1800. Please reply with your quote.,not spam
Instant Offer! Ship 200 kg of random items for $5! Payment via untraceable methods only. Don't wait!,spam
"Requesting transport for 450 kg of electronics from New Delhi to Bengaluru. Total cost is ₹12000, payable in 30 days. Please confirm.",not spam
Urgent! Move 100 kg of mysterious cargo for just $70! Pay today to lock in the price!,spam
"Transport request for 600 kg of textiles from Yokohama to Osaka. Estimated charge is ¥30000, payment due in 14 days. Awaiting your reply.",not spam
Exclusive Offer! Ship 300 kg of anything for just $100! Payment through PayPal only! Don't delay!,spam
"Looking for a transport solution for 1 ton of machinery from Buenos Aires to Santiago. Cost is $3000, payable in 30 days. Please let me know.",not spam
Hurry! Secure shipping for 100 kg of random products for $25! Payment must be made now to avail the offer!,spam
"Need transport for 500 kg of perishables from Melbourne to Sydney. Total cost is AUD 800, payable within 15 days. Please confirm.",not spam
"Limited time! Ship 150 kg of cargo for only $10! Quick payment required, or the offer expires!",spam
"Arranging transport for 400 kg of industrial parts from Toronto to Montreal. Estimated cost is CAD 900, payment in 2 weeks. Awaiting your reply.",not spam
Act Fast! Move 200 kg of unknown goods for just $200! Payment should be made immediately to secure your shipment!,spam
"Requesting transport for 350 kg of electronics from Frankfurt to Munich. Cost is €1000, payable within 20 days. Please confirm your quote.",not spam
Unbelievable Offer! Ship 50 kg of goods for only $5! Payment must be done right away!,spam
"I am arranging transport for 600 kg of furniture from Houston to Austin. The total cost is $1500, payable in 30 days. Please confirm availability.",not spam
Don't Miss This! Move 100 kg of special cargo for $15! Payment must be made today to secure your place!,spam
"Need to transport 1 ton of machinery from Nairobi to Mombasa. Estimated cost is $2000, payment due in 30 days. Please reply back soon.",not spam
Limited Offer! Transport 300 kg for $80! Pay immediately to claim this deal!,spam
"Looking for a transport quote for 400 kg of agricultural goods from Cairo to Alexandria. Price is $1000, payment due in 2 weeks. Let me know.",not spam
"Urgent! Ship 75 kg of anything for $20! Quick payment required, or the deal is off!",spam
"Request for transport of 500 kg of construction materials from Berlin to Hamburg. Cost is €1200, payment required in 30 days. Awaiting your response.",not spam
Exclusive Deal! Move 150 kg for just $25! Payment must be made today!,spam
"Can you provide transport for 600 kg of medical supplies from Paris to Brussels? The total cost is €1500, payable in 14 days. Please confirm quickly.",not spam
Hurry! Move 200 kg of luxury items for just $100! Payment must be made within hours!,spam
"Urgent Transport Request: 1000kg Electronics from NY to CA, $500. Payment via bank transfer within 5 days.",not spam
Transport Needed: 500kg of textiles from LA to TX. Standard rate is $300. Payment upon delivery.,not spam
"Immediate Shipping Required: 250kg of food items from FL to NY. Price of $400, payable within 7 days.",not spam
"Request for Freight: 1500kg machinery from IL to WA, cost of $750. Payment due upon receipt.",not spam
"Cargo Transport Inquiry: 300kg furniture from TX to NV. Pricing at $350, payment before delivery.",not spam
Quick Transport Needed! 2 tons of raw materials from OH to FL for just $600. Pay immediately!,spam
Last-Minute Transport Offer! 500kg of documents from NY to LA at $100! Secure your spot now!,spam
Act Fast: Transport 300kg of fragile items from TX to WA for only $200! Pay via Paypal!,spam
Exclusive Offer: Ship your 1 ton of goods from CA to CO for the low price of $400! Hurry!,spam
Immediate Shipping Required: 1000kg of electronics from NY to TX at an unbelievable price of $300!,spam
"Transport Request: 700kg of construction materials from TX to FL. Price is $500, payment in advance.",not spam
"Shipping Needed: 200kg of personal items from CA to OR. Cost is $250, payment on delivery.",not spam
"Freight Transport Inquiry: 1 ton of agricultural products from WA to TX, at $700. Payment due upon arrival.",not spam
Urgent: Move 600kg of industrial parts from IL to NY for $800. Payment via wire transfer required.,not spam
Transport Offer: 400kg electronics from FL to WA for only $450. Payment terms are flexible.,not spam
Limited Time Offer: Ship 1000kg of goods for just $100! Pay now or miss out!,spam
"Final Notice: Secure transport for 300kg of automotive parts from PA to NJ at $150, pay today!",spam
"Shipping Quote: 500kg of textiles from TX to IL for $350, payment is standard 30 days after delivery.",not spam
Transport Request: 1500kg of machinery from NV to OH for $850. Payment required before shipment.,not spam
"Quick Transport Needed: 800kg of furniture from NY to TX, only $600! Confirm payment immediately!",spam
Last Chance! Move 200kg of urgent cargo from CA to NV for $100. Act fast to secure this rate!,spam
"Request for Transport: 1000kg of office supplies from IL to FL, $400. Standard payment terms apply.",not spam
"Shipping Needed: 750kg of electronics from WA to CA. Cost is $500, payment upon delivery.",not spam
Transport Required: 1 ton of raw materials from TX to NY for just $500! Pay via credit card only!,spam
Final Call for Shipping: Move 200kg of items from FL to TX for $50! Pay now before it’s gone!,spam
Transport Inquiry: 900kg of machinery from CA to OR for $700. Payment due 15 days after delivery.,not spam
Urgent Transport Request: 300kg of copper from NY to FL at $300! Pay ASAP to secure your spot!,spam
Transport Needed: 1000kg of furniture from TX to OH at $600. Standard payment upon delivery.,not spam
Immediate Requirement: 500kg of documents from NJ to CA for $400! Payment terms unclear!,spam
Shipping Request: 250kg of chemicals from IL to TX at $450. Please pay in advance.,not spam
Quick Transport Needed: 600kg of toys from WA to FL for just $150! Confirm by end of day!,spam
Transport Offer: 100kg of fragile items from NY to TX for $250. Standard payment methods accepted.,not spam
Urgent! Freight Needed: 700kg electronics from CO to TX for $600. Pay now for priority service!,spam
"Transport Request: 1500kg of machinery from FL to NV, $750. Payment terms are negotiable.",not spam
Final Opportunity: Transport 300kg of goods from TX to CA for $50! Act fast!,spam
Shipping Inquiry: 500kg of organic products from PA to NY for $450. Payment due upon delivery.,not spam
Immediate Shipping Required: 400kg of textiles from CA to TX at a low price of $200!,spam
Request for Shipping: 1 ton of construction materials from CO to WA for $800. Payment in 30 days.,not spam
Urgent Transport Needed: 250kg of electronics from CA to FL at an unbelievable price of $300!,spam
